gender,study_hours,attendance,internal_marks,assignment_score,exam_score,previous_gpa,training,arrears,sleep_hours,mobile_usage,health_score,result
male,2,87,75,54,66,6.21,no,5,5,2,99,Fail
male,3,51,46,93,32,7.63,yes,2,4,6,71,Fail
female,4,81,33,57,89,5.01,no,0,4,6,94,Pass
female,4,48,63,57,95,8.83,yes,1,4,7,86,Pass
female,5,92,31,24,77,6.23,yes,3,5,5,43,Fail
female,4,57,71,34,51,5.5,no,3,3,3,73,Fail
male,7,100,31,92,45,6.01,yes,3,8,6,74,Pass
female,6,98,82,77,53,8.03,yes,5,4,2,46,Pass
female,3,72,33,96,85,7.77,yes,5,4,2,95,Fail
female,3,89,68,26,70,5.82,no,2,8,4,85,Pass
female,5,81,79,77,28,7.56,yes,1,6,8,81,Pass
female,2,56,42,60,46,5.64,no,5,9,1,78,Fail
male,3,52,22,62,70,4.17,no,4,6,8,99,Fail
male,8,59,20,71,49,5.27,no,5,8,6,86,Fail
female,6,94,93,94,95,7.95,yes,5,9,7,42,Pass
female,6,62,29,90,51,8.73,no,1,8,4,85,Pass
male,2,84,97,76,100,9.32,no,4,3,2,59,Pass
female,7,41,50,67,100,4.91,no,4,8,7,46,Fail
female,1,85,37,64,76,8.0,yes,1,4,5,76,Pass
male,6,92,85,43,37,4.3,yes,5,4,4,75,Fail
female,4,80,55,47,96,6.7,no,0,9,8,78,Pass
male,3,74,30,38,83,5.54,yes,1,8,5,89,Pass
female,6,78,98,85,79,7.72,yes,3,5,2,49,Pass
female,4,82,64,65,30,4.01,yes,1,5,8,98,Fail
female,8,78,38,62,90,4.01,no,4,6,5,42,Fail
female,4,40,65,68,89,4.22,yes,3,3,2,61,Fail
male,7,50,34,56,98,7.49,yes,4,8,3,99,Pass
male,6,94,22,30,24,4.04,yes,5,9,1,40,Fail
female,2,54,66,68,25,8.57,no,5,6,8,82,Fail
male,6,88,70,28,95,9.04,yes,5,6,5,98,Pass
female,6,88,74,71,53,6.71,no,3,8,2,82,Pass
female,1,56,42,28,72,8.98,yes,0,9,6,85,Pass
female,1,49,71,25,82,8.17,yes,0,5,7,42,Pass
female,2,98,76,96,48,5.36,yes,5,5,3,50,Fail
male,3,100,71,49,96,4.01,yes,0,8,4,100,Pass
female,3,55,49,72,67,4.73,yes,3,9,5,43,Fail
male,6,40,40,25,52,6.98,yes,2,8,1,84,Pass
female,4,86,23,50,22,9.5,no,3,5,3,46,Fail
female,1,56,75,76,20,6.87,yes,1,9,1,55,Fail
male,4,41,61,33,97,4.01,yes,5,3,2,84,Fail
female,8,68,31,47,49,7.39,no,1,5,8,62,Pass
male,2,69,70,70,38,6.62,no,4,5,7,77,Fail
male,2,60,77,29,49,6.89,yes,4,5,7,56,Fail
female,6,64,100,88,46,9.08,no,0,3,3,46,Pass
male,4,81,28,51,87,9.16,no,2,4,1,70,Pass
female,6,78,49,62,78,7.76,yes,5,5,6,87,Pass
female,6,98,20,29,75,9.39,no,3,8,6,87,Pass
female,7,95,80,37,43,6.2,yes,4,8,4,98,Pass
male,7,57,39,24,100,5.19,no,5,6,3,95,Pass
female,1,62,31,93,26,6.17,no,2,4,5,74,Fail
male,7,72,42,45,58,9.17,yes,4,6,6,59,Pass
male,3,72,25,75,67,6.62,no,2,9,6,93,Fail
male,1,46,75,21,53,6.24,no,1,5,7,84,Fail
male,1,43,29,24,74,6.02,yes,5,9,1,80,Fail
male,6,77,70,68,76,4.68,yes,3,3,5,76,Pass
female,4,72,94,31,100,5.95,yes,0,8,2,61,Pass
female,4,91,59,57,95,7.12,yes,4,9,2,95,Pass
male,8,99,31,53,87,5.31,yes,2,4,1,72,Pass
male,4,74,94,38,36,4.64,yes,0,4,2,90,Pass
female,7,78,62,91,52,6.87,yes,0,4,5,100,Pass
female,7,80,59,56,21,5.95,no,1,5,2,88,Pass
female,5,76,25,62,28,8.82,no,2,7,8,64,Fail
male,6,49,87,26,44,8.85,no,2,9,2,79,Pass
female,1,67,33,80,57,5.52,no,0,7,1,63,Fail
male,1,46,81,69,91,4.58,no,0,7,5,79,Pass
male,8,99,31,70,26,4.63,yes,0,3,1,49,Pass
male,6,58,72,21,36,4.66,yes,2,8,6,72,Fail
male,8,49,25,34,86,4.42,yes,1,4,7,81,Pass
female,8,45,94,75,42,7.77,yes,0,7,6,99,Pass
female,8,100,21,70,45,6.26,yes,4,9,6,87,Fail
male,2,72,27,66,82,5.57,no,0,9,3,46,Pass
female,8,91,88,53,49,6.25,no,3,3,4,100,Pass
female,8,79,87,91,56,4.61,no,5,3,8,58,Fail
male,6,90,57,95,44,8.42,yes,0,5,6,85,Pass
female,6,93,59,70,50,8.91,yes,2,3,7,66,Pass
female,6,63,82,20,85,9.1,yes,4,7,2,41,Pass
male,6,80,65,76,73,5.4,no,0,6,1,96,Pass
male,3,72,88,93,55,7.1,no,5,4,2,58,Fail
female,4,73,69,77,45,9.03,no,2,8,5,83,Pass
female,4,42,49,26,93,9.43,no,1,8,2,60,Pass
male,1,50,35,65,52,8.98,yes,4,3,8,66,Fail
male,6,41,93,73,64,5.31,yes,1,8,2,90,Pass
female,6,47,84,65,45,5.14,yes,5,5,2,44,Fail
female,6,83,38,20,93,5.13,no,2,3,6,43,Pass
male,3,63,70,42,30,5.17,yes,5,6,2,54,Fail
female,1,89,67,31,62,6.26,no,3,4,4,82,Pass
female,5,83,85,35,49,6.27,no,0,6,3,95,Pass
male,1,63,71,85,76,4.1,yes,2,9,5,57,Fail
male,1,50,30,78,56,5.56,no,5,3,6,49,Fail
female,2,95,25,46,33,4.48,yes,1,5,6,43,Fail
female,1,60,58,89,32,5.56,no,5,9,6,89,Fail
male,2,84,24,64,91,8.2,yes,3,8,8,91,Fail
male,6,91,75,52,27,8.93,no,2,4,4,99,Pass
male,2,95,46,84,22,4.29,no,0,4,8,59,Fail
male,4,40,44,45,21,7.33,yes,0,3,8,89,Fail
male,2,42,94,60,75,4.83,yes,2,5,8,80,Fail
male,6,64,36,52,100,6.19,yes,4,7,6,62,Fail
female,2,92,37,67,88,7.47,yes,2,4,5,54,Pass
male,5,65,98,99,62,8.93,no,0,8,8,95,Pass
male,7,97,98,31,89,7.32,yes,1,8,8,51,Pass
male,5,42,83,23,30,8.44,yes,5,5,1,77,Fail
female,7,69,27,41,21,8.97,yes,1,9,4,52,Pass
female,4,97,91,91,95,7.05,yes,4,8,3,53,Pass
female,1,97,77,58,72,7.89,yes,4,3,1,77,Pass
male,8,64,34,26,35,4.73,yes,3,6,5,43,Fail
female,1,46,47,65,92,5.78,yes,1,9,5,97,Pass
female,4,40,63,72,40,8.45,no,3,4,1,91,Fail
male,3,63,78,97,43,5.68,yes,2,3,5,73,Fail
female,1,49,84,52,93,7.33,yes,0,7,1,91,Pass
female,3,61,38,86,55,9.42,no,2,7,8,75,Fail
male,6,79,28,46,24,7.06,yes,3,3,2,48,Fail
female,1,69,99,23,23,8.86,yes,4,5,1,64,Fail
male,4,82,60,72,50,4.75,yes,4,8,1,59,Fail
female,7,99,60,31,70,4.08,no,1,5,7,72,Pass
female,6,63,34,34,45,4.02,no,2,9,8,47,Fail
female,5,87,34,77,45,5.93,yes,4,8,1,92,Fail
male,4,68,71,92,30,8.67,no,4,3,3,67,Fail
male,5,100,91,84,87,9.1,yes,2,5,2,51,Pass
male,6,92,69,38,47,6.98,yes,2,8,4,85,Pass
male,2,46,95,32,21,8.38,no,4,9,6,52,Fail
female,6,51,58,98,100,4.31,no,5,9,7,76,Fail
female,3,48,46,22,68,7.78,no,1,7,2,98,Pass
male,3,85,82,30,75,5.58,no,2,4,1,81,Pass
female,3,46,89,65,92,7.64,no,0,9,8,95,Pass
female,2,95,24,28,96,9.35,no,0,9,2,51,Pass
female,2,48,46,31,98,4.36,no,0,5,7,78,Pass
female,4,96,36,59,99,7.52,no,1,9,8,88,Pass
male,2,63,56,56,61,6.15,yes,3,3,8,57,Fail
female,2,81,96,20,34,6.32,yes,0,5,2,43,Pass
female,6,80,57,30,72,6.05,no,1,4,8,65,Pass
male,5,76,23,78,100,5.68,yes,4,8,4,83,Fail
female,8,63,32,50,80,7.58,no,3,7,5,73,Pass
male,8,98,30,96,90,6.96,no,0,4,4,49,Pass
female,8,45,56,53,47,4.09,yes,2,5,2,86,Pass
male,1,72,54,92,97,8.76,yes,5,9,2,80,Pass
male,2,55,45,95,24,5.48,yes,0,8,6,49,Fail
male,8,88,94,65,35,8.53,no,3,3,8,83,Pass
female,5,70,35,57,30,4.13,yes,0,4,5,71,Fail
female,1,78,28,64,86,6.58,no,2,7,2,64,Fail
female,4,66,36,88,99,5.49,no,3,4,5,93,Pass
male,7,46,32,94,61,9.19,no,5,4,7,57,Fail
female,2,52,80,82,73,7.63,no,2,4,8,73,Pass
female,8,70,68,64,24,4.9,no,2,5,2,81,Pass
male,7,99,34,73,60,9.07,yes,4,5,1,56,Pass
male,6,62,38,29,99,9.49,yes,4,3,3,79,Pass
male,2,49,93,56,88,6.49,no,5,7,6,84,Fail
male,6,45,72,85,40,6.63,no,4,7,3,65,Fail
male,3,97,25,72,42,4.8,yes,0,7,2,66,Pass
female,3,59,55,61,45,9.44,no,4,5,4,47,Fail
female,7,54,98,53,39,5.49,yes,1,9,4,47,Pass
male,7,86,51,57,50,5.07,no,2,9,4,62,Pass
male,7,44,46,67,25,6.91,yes,0,8,3,84,Pass
female,6,93,67,95,36,8.89,yes,4,4,5,69,Pass
female,3,63,80,78,41,9.0,no,4,6,4,56,Fail
female,6,83,53,29,29,6.11,yes,5,6,2,66,Fail
